post_id,platform,post_type,content_category,post_date,post_time,likes,comments,shares,saves,impressions,reach,engagement_rate,followers_at_post,hashtags_count,sentiment
SM001,Instagram,Photo,Lifestyle,2024-01-15,09:30,1245,87,34,156,8920,7234,17.2,15420,8,Positive
SM002,Facebook,Video,Tech,2024-01-15,14:20,892,45,67,0,12450,9876,8.1,28340,5,Positive
SM003,Twitter,Text,Food,2024-01-15,18:45,567,23,89,0,5670,4521,11.9,18920,12,Neutral
SM004,TikTok,Video,Travel,2024-01-16,08:15,3421,234,456,0,45230,38920,9.1,42150,6,Positive
SM005,Instagram,Reel,Fashion,2024-01-16,12:00,2134,156,78,289,23450,19230,10.8,22340,10,Positive
SM006,Facebook,Photo,Lifestyle,2024-01-16,16:30,678,34,23,0,8920,7123,8.2,18920,7,Neutral
SM007,Twitter,Text,Tech,2024-01-17,10:20,445,67,34,0,6780,5234,8.1,21340,9,Positive
SM008,Instagram,Story,Food,2024-01-17,13:45,1567,89,45,234,15670,12340,12.4,19230,5,Positive
SM009,TikTok,Video,Lifestyle,2024-01-17,19:00,4523,345,567,0,56780,47230,9.6,48920,8,Positive
SM010,Facebook,Video,Travel,2024-01-18,09:00,1234,78,56,0,18920,15230,7.2,32450,6,Positive
SM011,Instagram,Photo,Fashion,2024-01-18,15:30,1890,123,67,178,21340,17890,10.6,20450,11,Positive
SM012,Twitter,Text,Food,2024-01-18,20:15,389,45,23,0,4560,3670,10.1,15670,15,Neutral
SM013,TikTok,Video,Tech,2024-01-19,11:00,5678,456,678,0,67890,56780,10.1,52340,7,Positive
SM014,Instagram,Reel,Lifestyle,2024-01-19,14:45,2567,189,89,312,28920,23450,11.0,24560,9,Positive
SM015,Facebook,Photo,Travel,2024-01-19,17:20,890,56,34,0,12340,9870,8.0,25670,8,Positive
SM016,Twitter,Text,Fashion,2024-01-20,08:30,567,34,45,0,6780,5234,9.3,19230,13,Neutral
SM017,Instagram,Photo,Food,2024-01-20,12:15,1678,134,56,189,19230,15670,11.8,18920,10,Positive
SM018,TikTok,Video,Lifestyle,2024-01-20,16:00,3890,267,445,0,48920,39870,9.4,45670,6,Positive
SM019,Facebook,Video,Tech,2024-01-21,10:45,1123,89,67,0,15670,12340,8.2,29870,7,Positive
SM020,Instagram,Story,Travel,2024-01-21,14:30,1456,98,45,167,17890,14230,10.2,17340,6,Positive
SM021,Twitter,Text,Fashion,2024-01-21,18:00,423,56,34,0,5670,4340,9.0,16780,11,Neutral
SM022,TikTok,Video,Food,2024-01-22,09:15,4234,334,523,0,52340,43210,9.7,49870,9,Positive
SM023,Instagram,Reel,Lifestyle,2024-01-22,13:00,2345,178,78,267,26780,21340,11.2,23450,8,Positive
SM024,Facebook,Photo,Tech,2024-01-22,16:45,789,45,28,0,10230,8120,8.5,21340,5,Positive
SM025,Twitter,Text,Travel,2024-01-23,11:30,512,67,45,0,6340,4890,9.6,17890,14,Positive
SM026,Instagram,Photo,Fashion,2024-01-23,15:15,1789,145,67,198,20450,16340,11.4,19870,12,Positive
SM027,TikTok,Video,Food,2024-01-23,19:30,3678,289,434,0,46780,38920,9.3,44230,7,Positive
SM028,Facebook,Video,Lifestyle,2024-01-24,08:45,1045,78,56,0,14560,11230,8.0,27340,6,Neutral
SM029,Instagram,Story,Tech,2024-01-24,12:30,1234,89,45,156,16780,13450,9.8,16230,7,Positive
SM030,Twitter,Text,Travel,2024-01-24,17:00,456,45,34,0,5230,4120,10.2,14560,10,Neutral
SM031,TikTok,Video,Fashion,2024-01-25,10:00,5234,423,612,0,63450,52340,10.3,50230,8,Positive
SM032,Instagram,Reel,Food,2024-01-25,14:15,2678,198,89,289,29870,24230,11.5,25670,9,Positive
SM033,Facebook,Photo,Lifestyle,2024-01-25,18:30,923,67,45,0,12890,10230,8.3,23450,7,Positive
SM034,Twitter,Text,Tech,2024-01-26,09:30,534,56,28,0,6120,4780,9.7,16340,12,Neutral
SM035,Instagram,Photo,Travel,2024-01-26,13:45,1567,123,56,178,18920,15230,10.3,18340,11,Positive
SM036,TikTok,Video,Fashion,2024-01-26,17:15,4123,312,489,0,51230,42340,9.5,47890,6,Positive
SM037,Facebook,Video,Food,2024-01-27,11:00,1156,89,67,0,16340,12890,8.4,28920,8,Positive
SM038,Instagram,Story,Lifestyle,2024-01-27,15:30,1345,98,45,167,17230,13890,10.1,16780,5,Positive
SM039,Twitter,Text,Tech,2024-01-27,19:45,489,67,45,0,5890,4560,10.4,15230,13,Positive
SM040,TikTok,Video,Travel,2024-01-28,08:30,3890,278,423,0,47890,39230,9.2,43450,7,Positive
SM041,Instagram,Reel,Fashion,2024-01-28,12:45,2456,189,78,278,27340,22120,11.3,24230,10,Positive
SM042,Facebook,Photo,Food,2024-01-28,16:20,834,56,34,0,11230,8920,8.2,22340,6,Neutral
SM043,Twitter,Text,Lifestyle,2024-01-29,10:15,445,45,34,0,5340,4120,9.8,15670,11,Neutral
SM044,Instagram,Photo,Tech,2024-01-29,14:00,1678,134,67,189,19870,16120,10.8,19230,9,Positive
SM045,TikTok,Video,Travel,2024-01-29,18:15,4567,356,534,0,55670,46230,9.8,48920,8,Positive
SM046,Facebook,Video,Fashion,2024-01-30,09:45,1234,98,67,0,17340,13670,8.5,29230,7,Positive
SM047,Instagram,Story,Food,2024-01-30,13:30,1456,112,56,178,18340,14560,10.5,17890,6,Positive
SM048,Twitter,Text,Lifestyle,2024-01-30,17:45,512,56,45,0,6120,4780,10.0,16340,14,Neutral
SM049,TikTok,Video,Tech,2024-01-31,11:15,5123,434,623,0,62340,51230,10.5,51890,9,Positive
SM050,Instagram,Reel,Travel,2024-01-31,15:00,2789,212,89,298,30230,24560,11.6,26340,8,Positive
SM051,Facebook,Photo,Fashion,2024-01-31,19:30,912,67,45,0,12670,10120,8.4,24230,5,Positive
SM052,Twitter,Text,Food,2024-02-01,08:15,423,45,28,0,5120,3980,9.5,14890,12,Neutral
SM053,Instagram,Photo,Lifestyle,2024-02-01,12:00,1789,145,67,198,20670,16780,11.2,19560,10,Positive
SM054,TikTok,Video,Tech,2024-02-01,16:30,4234,323,478,0,52120,43120,9.6,47230,7,Positive
SM055,Facebook,Video,Travel,2024-02-02,10:30,1178,89,56,0,16230,12780,8.3,28340,6,Positive
SM056,Instagram,Story,Fashion,2024-02-02,14:45,1567,123,56,189,18670,15120,10.7,18120,7,Positive
SM057,Twitter,Text,Food,2024-02-02,18:20,478,56,34,0,5670,4340,9.9,15890,13,Neutral
SM058,TikTok,Video,Lifestyle,2024-02-03,09:00,3789,289,412,0,46340,38120,9.4,42890,8,Positive
SM059,Instagram,Reel,Tech,2024-02-03,13:15,2567,198,89,278,28340,23120,11.4,25120,9,Positive
SM060,Facebook,Photo,Travel,2024-02-03,17:00,845,67,45,0,11670,9230,8.5,23120,6,Neutral
SM061,Twitter,Text,Fashion,2024-02-04,11:45,534,67,45,0,6230,4890,10.3,16780,11,Positive
SM062,Instagram,Photo,Food,2024-02-04,15:30,1678,134,67,189,19670,15890,10.9,18890,11,Positive
SM063,TikTok,Video,Lifestyle,2024-02-04,19:15,4456,345,523,0,54230,44890,9.7,49120,7,Positive
SM064,Facebook,Video,Tech,2024-02-05,08:30,1123,89,67,0,15890,12560,8.4,28670,8,Positive
SM065,Instagram,Story,Travel,2024-02-05,12:45,1456,112,56,178,18120,14340,10.6,17560,6,Positive
SM066,Twitter,Text,Fashion,2024-02-05,16:30,445,56,34,0,5340,4120,10.1,15340,14,Neutral
SM067,TikTok,Video,Food,2024-02-06,10:00,5234,423,612,0,63890,52670,10.4,51340,9,Positive
SM068,Instagram,Reel,Lifestyle,2024-02-06,14:30,2678,198,89,289,29560,24120,11.5,25340,8,Positive
SM069,Facebook,Photo,Tech,2024-02-06,18:45,923,67,45,0,12560,9980,8.5,22890,7,Positive
SM070,Twitter,Text,Travel,2024-02-07,09:15,512,56,34,0,6120,4780,9.8,16120,12,Neutral
SM071,Instagram,Photo,Fashion,2024-02-07,13:00,1789,145,67,198,20890,16890,11.3,19780,10,Positive
SM072,TikTok,Video,Food,2024-02-07,17:30,4123,312,489,0,51670,42780,9.5,47560,6,Positive
SM073,Facebook,Video,Lifestyle,2024-02-08,11:30,1156,89,67,0,16560,13120,8.6,28120,7,Positive
SM074,Instagram,Story,Tech,2024-02-08,15:45,1345,98,45,167,17560,14120,10.2,17120,5,Positive
SM075,Twitter,Text,Travel,2024-02-08,19:20,489,67,45,0,5890,4560,10.4,15560,13,Positive
SM076,TikTok,Video,Fashion,2024-02-09,08:45,3890,278,423,0,48120,39560,9.3,43890,7,Positive
SM077,Instagram,Reel,Food,2024-02-09,12:30,2456,189,78,278,27670,22560,11.4,24560,9,Positive
SM078,Facebook,Photo,Lifestyle,2024-02-09,16:15,834,56,34,0,11560,9120,8.3,22560,6,Neutral
SM079,Twitter,Text,Tech,2024-02-10,10:30,445,45,34,0,5560,4340,9.9,15890,11,Neutral
SM080,Instagram,Photo,Travel,2024-02-10,14:15,1678,134,67,189,20120,16340,11.0,19340,9,Positive
SM081,TikTok,Video,Fashion,2024-02-10,18:00,4567,356,534,0,56120,46560,10.0,49340,8,Positive
SM082,Facebook,Video,Food,2024-02-11,09:30,1234,98,67,0,17670,13890,8.6,29560,7,Positive
SM083,Instagram,Story,Lifestyle,2024-02-11,13:45,1456,112,56,178,18560,14780,10.7,18120,6,Positive
SM084,Twitter,Text,Tech,2024-02-11,17:30,512,56,45,0,6340,4890,10.1,16560,14,Neutral
SM085,TikTok,Video,Travel,2024-02-12,11:00,5123,434,623,0,62890,51670,10.6,52120,9,Positive
SM086,Instagram,Reel,Fashion,2024-02-12,15:15,2789,212,89,298,30560,24890,11.7,26670,8,Positive
SM087,Facebook,Photo,Food,2024-02-12,19:00,912,67,45,0,12890,10340,8.5,24560,5,Positive
SM088,Twitter,Text,Lifestyle,2024-02-13,08:00,423,45,28,0,5340,4120,9.6,15120,12,Negative
SM089,Instagram,Photo,Tech,2024-02-13,12:15,1789,145,67,198,20890,17120,11.3,19890,10,Positive
SM090,TikTok,Video,Travel,2024-02-13,16:45,4234,323,478,0,52560,43450,9.7,47890,7,Positive
SM091,Facebook,Video,Fashion,2024-02-14,10:15,1178,89,56,0,16560,13120,8.4,28890,6,Positive
SM092,Instagram,Story,Food,2024-02-14,14:30,1567,123,56,189,18890,15340,10.8,18340,7,Positive
SM093,Twitter,Text,Lifestyle,2024-02-14,18:15,478,56,34,0,5890,4560,10.0,16120,13,Neutral
SM094,TikTok,Video,Tech,2024-02-15,09:45,3789,289,412,0,46890,38560,9.5,43120,8,Positive
SM095,Instagram,Reel,Travel,2024-02-15,13:30,2567,198,89,278,28670,23450,11.5,25450,9,Positive
SM096,Facebook,Photo,Fashion,2024-02-15,17:15,845,67,45,0,11890,9450,8.6,23450,6,Neutral
SM097,Twitter,Text,Food,2024-02-16,11:15,534,67,45,0,6450,5120,10.4,17120,11,Positive
SM098,Instagram,Photo,Lifestyle,2024-02-16,15:00,1678,134,67,189,19890,16120,11.1,19120,11,Positive
SM099,TikTok,Video,Tech,2024-02-16,19:30,4456,345,523,0,54670,45120,9.8,49560,7,Positive
SM100,Facebook,Video,Travel,2024-02-17,08:15,1123,89,67,0,16120,12890,8.5,28890,8,Positive
